,name,content,time
71,Ruppin confessions,"Translated(src=en, dest=en, text=Translated(src=en, dest=en, text=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), pronunciation=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), extra_data=""{'translat...""), pronunciation=Translated(src=en, dest=en, text=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), pronunciation=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), extra_data=""{'translat...""), extra_data=""{'translat..."")",a
72,Ruppin confessions,"Translated(src=en, dest=en, text=Translated(src=en, dest=en, text=Translated(src=en, dest=en, text=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), pronunciation=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), extra_data=""{'translat...""), pronunciation=Translated(src=en, dest=en, text=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), pronunciation=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), extra_data=""{'translat...""), extra_data=""{'translat...""), pronunciation=Translated(src=en, dest=en, text=Translated(src=en, dest=en, text=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), pronunciation=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), extra_data=""{'translat...""), pronunciation=Translated(src=en, dest=en, text=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), pronunciation=Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=Think there is a problem with short men? Like, why is it so influential? A short man (165) who loses hope, pronunciation=[[]], extra_data=""{'translat...""), extra_data=""{'translat...""), extra_data=""{'translat...""), extra_data=""{'translat...""), extra_data=""{'translat..."")",a
73,Ruppin confessions,"For 4 years now I have been listening to Arabic speakers in the title for their conversations, they have no idea that I speak fluently and understand everything they say… Another moment to finish, is it time to tell them?",a
74,Ruppin confessions,"Translated(src=iw, dest=en, text=For 4 years now I have been listening to Arabic speakers in the title for their conversations, they have no idea that I speak fluently and understand everything they say… Another moment to finish, is it time to tell them?, pronunciation=For 4 years now I have been listening to Arabic speakers in the title for their conversations, they have no idea that I speak fluently and understand everything they say… Another moment to finish, is it time to tell them?, extra_data=""{'translat..."")",a
75,Ruppin confessions,"I did not understand in which section I have to spend every day a car and a hitchhiker pays me 15 shekels in the direction ?! What does it help me with? How's Pierre? It is clear that it will pay off for them to take a ride with me and that I will drive, get tired, and refuel NIS 200 from Haifa back and forth. Just insolence! It should be raised from 15 NIS urgently, at least to 20! Anyone who helps like me every day understands what I am talking about from a poor and resentful student",a
76,Ruppin confessions,The overseers began to undergo in-depth training at Bishalach 314 and began checking calculators,a
77,Ruppin confessions,It's your time for dorm people to have sex for a free night after the Purim party,a
78,Ruppin confessions,How long are American tests that do not consider me to have knowledge of the material ?!,a
80,Ruppin confessions,"""* Advice for men * After flirting and laughing at breaks, I finally gathered the courage to offer a girl of my degree to go out. I was really excited so I spent the whole day preparing for a date in the evening. I went to get a haircut, bought a nice shirt, got advice from friends And link sentences so that there will not be one boring moment.One important thing I forgot to do .... eat.… See more",a
81,Ruppin confessions,Has anyone won anything from the completion of the teaching survey? Or are they working on us and there are really no lotteries of anything?,a
82,Ruppin confessions,"From my experiences and conclusions from my test period in the first year - you start your strongest, and slowly lower your expectations",a
83,Ruppin confessions,"Translated(src=iw, dest=en, text=From my experiences and conclusions from my test period in the first year - you start your strongest, and slowly lower your expectations, pronunciation=From my experiences and conclusions from my test period in the first year - you start your strongest, and slowly lower your expectations, extra_data=""{'translat..."")",a
84,Ruppin confessions,"Men, the fact that I came to your apartment to study together does not mean we're going to bed! Let me enjoy the uncertainty and fantasize a little clear for both of us that we will lie down at the end will hold back a little soul sessions",a
85,Ruppin confessions,"As a man to the other men, smile more, be nicer to each other even when there are girls next door, not everything is polygamous competition, a small request from me - do not be simps because it is transparent and embarrassing and there are girls who fly on it and take advantage of you (quality girls who will not like It), girls are human-girls, poop, wipe, sometimes smeared on their hand a little and they smell, maybe there are also some that taste but it does not matter, you understand the idea will pardon all men wherever they are.",a
86,Ruppin confessions,"Bachelor's degree in Rupin after 4 years. Year after year the students who come more cry and demand to be spoon-fed. Khalas, you are in academia and not in elementary school and certainly not in high school. * Another important note - not every job you submit will receive a high grade. The score is given according to its level and if you answered correctly, and not the fact that you ""invested"" or just because you submitted and tried.",a
87,Ruppin confessions,The hallucination of how we once learned a degree without recordings and managed to pass,a
88,Ruppin confessions,"Translated(src=iw, dest=en, text=The hallucination of how we once learned a degree without recordings and managed to pass, pronunciation=The hallucination of how we once learned a degree without recordings and managed to pass, extra_data=""{'translat..."")",a
89,Ruppin confessions,"Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=The hallucination of how we once learned a degree without recordings and managed to pass, pronunciation=The hallucination of how we once learned a degree without recordings and managed to pass, extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=The hallucination of how we once learned a degree without recordings and managed to pass, pronunciation=The hallucination of how we once learned a degree without recordings and managed to pass, extra_data=""{'translat...""), extra_data=""{'translat..."")",a
90,Ruppin confessions,"I do not understand this, the main thing is to send us e-mails ""It's hard for you emotionally"". Frustrating !!",a
91,Ruppin confessions,"I failed the test and I was mistakenly entered the grade of the housework in the final grade, thus turning 40 into 95 effortlessly",a
148,Ruppin confessions,"Did you want a real confession? From the heart? Get… Every time I make black coffee in rupin I ""borrow"" a glass from the rhino, and do not return.",a
149,Ruppin confessions,"Translated(src=iw, dest=en, text=Did you want a real confession? From the heart? Get… Every time I make black coffee in rupin I ""borrow"" a glass from the rhino, and do not return., pronunciation=[[]], extra_data=""{'translat..."")",a
150,Ruppin confessions,It is not clear to me why pilots are allowed to give accounting lectures,a
151,Ruppin confessions,It's really better to have Dushinsky's commercials than the flying saucer,a
152,Ruppin confessions,The new Rupint site is just awful every time anew has a different login issue. It will not surprise me if in the end they break into the database of this college,a
153,Ruppin confessions,We had a match in one of the apps and I decided to go to sleep with him the day before a test in order to save an hour's drive on the morning of the test and also because to relieve stress sometimes it's okay. I did not tell him that I have a test because sex for a bed can move terribly if you have been with someone who has lived far away recently and you have a reasonable performance minus it is important to know that pressures have not been released but the trip was still worthwhile,a
154,Ruppin confessions,Seriously now why are there no glasses in the Faculty of Engineering? Bali has been switching to psychology to find me someone there (engineering student),a
155,Ruppin confessions,"Every time I come to the library there is an atmosphere of drug dealing in Dangen .. I see Ritalin transfer deals under the tables, as I enter the library they check if I am masked so that they can not identify me .. While I was on my way to the table someone approached me while walking and whispering Me if I have Ritalin ""by chance"") and it's always the same one (is there anyone else here who picked it up? Or just me in this experience ??",a
156,Ruppin confessions,"Translated(src=iw, dest=en, text=Every time I come to the library there is an atmosphere of drug dealing in Dangen .. I see Ritalin transfer deals under the tables, as I enter the library they check if I am masked so that they can not identify me .. While I was on my way to the table someone approached me while walking and whispering Me if I have Ritalin ""by chance"") and it's always the same one (is there anyone else here who picked it up? Or just me in this experience ??, pronunciation=[[]], extra_data=""{'translat..."")",a
157,Ruppin confessions,"It always felt to me that the guys who grind the most during these exams are the guys of engineering, always in building 5 or in every possible hole you can study in, 24/7. shocking",a
158,Ruppin confessions,"Translated(src=iw, dest=en, text=It always felt to me that the guys who grind the most during these exams are the guys of engineering, always in building 5 or in every possible hole you can study in, 24/7. shocking, pronunciation=None, extra_data=""{'translat..."")",a
159,Ruppin confessions,"Translated(src=en, dest=en, text=Translated(src=iw, dest=en, text=It always felt to me that the guys who grind the most during these exams are the guys of engineering, always in building 5 or in every possible hole you can study in, 24/7. shocking, pronunciation=None, extra_data=""{'translat...""), pronunciation=Translated(src=iw, dest=en, text=It always felt to me that the guys who grind the most during these exams are the guys of engineering, always in building 5 or in every possible hole you can study in, 24/7. shocking, pronunciation=None, extra_data=""{'translat...""), extra_data=""{'translat..."")",a
160,Ruppin confessions,All the girls who register that they are looking for a friend or desperate and then do not respond to messages on Facebook artist will remain single forever from a single and desperate man,a
161,Ruppin confessions,"Who decided to call dormitories, dormitories? This is a home for babies",a
162,Ruppin confessions,"The degree is really not what I thought, really feels like a failure if I give up and go to another field. What do you think?",a
